ax;ay;az;temp;dax;day;daz;iax;iay;iaz;norm
-0.82;-0.26;0.39;22488;-0.52;3.58;-1.51;-7.43;-0.92;3.55;0.89
-0.81;0.05;0.29;22488;0.09;3.12;-0.94;-7.52;-0.91;3.58;0.75
-0.80;0.26;0.27;22488;0.10;2.08;-0.29;-7.60;-0.89;3.61;0.78
-0.76;0.30;0.44;22488;0.41;0.38;1.71;-7.67;-0.86;3.65;0.86
-0.80;0.28;0.32;22488;-0.39;-0.19;-1.19;-7.75;-0.83;3.68;0.82
-0.83;-0.10;0.38;22488;-0.31;-3.79;0.62;-7.83;-0.84;3.72;0.84
-0.80;-0.07;0.31;22489;0.34;0.32;-0.72;-7.91;-0.85;3.75;0.73
-0.80;-0.61;0.48;22489;-0.00;-5.42;1.75;-7.99;-0.91;3.80;1.24
-0.75;-0.64;0.56;22489;0.46;-0.30;0.81;-8.07;-0.97;3.86;1.29
-0.78;-0.17;0.36;22489;-0.32;4.73;-2.00;-8.15;-0.99;3.89;0.77
-0.84;-0.01;0.31;22489;-0.56;1.60;-0.56;-8.23;-0.99;3.92;0.80
-0.76;0.30;0.32;22489;0.80;3.08;0.08;-8.31;-0.96;3.96;0.77
-0.77;0.26;0.42;22489;-0.16;-0.41;1.08;-8.38;-0.93;4.00;0.85
-0.79;0.19;0.33;22489;-0.12;-0.65;-0.99;-8.46;-0.91;4.03;0.76
-0.82;-0.05;0.33;22489;-0.29;-2.49;0.00;-8.54;-0.92;4.06;0.78
-0.82;-0.14;0.31;22489;0.01;-0.87;-0.19;-8.63;-0.93;4.09;0.78
-0.79;-0.67;0.52;224810;0.26;-5.29;2.16;-8.71;-1.00;4.15;1.35
-0.78;-0.53;0.53;224810;0.13;1.36;0.07;-8.78;-1.05;4.20;1.17
-0.80;-0.18;0.39;224810;-0.21;3.51;-1.41;-8.86;-1.07;4.24;0.82
-0.82;0.05;0.30;224810;-0.20;2.29;-0.92;-8.94;-1.07;4.27;0.76
-0.76;0.26;0.36;224810;0.52;2.16;0.59;-9.02;-1.04;4.30;0.78
-0.75;0.28;0.41;224810;0.18;0.22;0.56;-9.10;-1.01;4.35;0.81
-0.80;0.28;0.31;224810;-0.49;-0.01;-0.99;-9.18;-0.98;4.38;0.81
-0.82;-0.06;0.36;224810;-0.26;-3.48;0.43;-9.26;-0.99;4.41;0.81
-0.82;-0.12;0.30;224810;0.06;-0.59;-0.59;-9.34;-1.00;4.44;0.77
-0.79;-0.67;0.51;224810;0.26;-5.43;2.13;-9.42;-1.07;4.49;1.33
-0.78;-0.51;0.54;224811;0.09;1.52;0.23;-9.50;-1.12;4.55;1.16
-0.79;-0.17;0.39;224811;-0.09;3.48;-1.49;-9.57;-1.14;4.59;0.80
-0.84;0.01;0.31;224811;-0.53;1.77;-0.76;-9.66;-1.14;4.62;0.81
-0.74;0.47;0.24;224811;1.05;4.54;-0.68;-9.73;-1.09;4.64;0.82
-0.77;0.28;0.41;224811;-0.29;-1.86;1.66;-9.81;-1.06;4.68;0.83
-0.82;0.11;0.36;224811;-0.56;-1.70;-0.43;-9.89;-1.05;4.72;0.82
-0.85;-0.05;0.29;224811;-0.25;-1.62;-0.74;-9.98;-1.06;4.75;0.80
-0.80;-0.17;0.36;224811;0.50;-1.16;0.72;-10.06;-1.07;4.78;0.79
-0.78;-0.65;0.52;224811;0.18;-4.78;1.60;-10.13;-1.14;4.84;1.30
-0.77;-0.52;0.51;224811;0.10;1.30;-0.16;-10.21;-1.19;4.89;1.11
-0.81;-0.20;0.36;224812;-0.41;3.18;-1.47;-10.29;-1.21;4.92;0.82
-0.82;0.04;0.29;224812;-0.07;2.41;-0.67;-10.37;-1.20;4.95;0.75
-0.77;0.26;0.31;224812;0.48;2.21;0.22;-10.45;-1.18;4.98;0.76
-0.78;0.24;0.41;224812;-0.11;-0.23;0.94;-10.53;-1.15;5.02;0.83
