ax;ay;az;temp;dax;day;daz;iax;iay;iaz;norm
-0.35;0.54;0.89;181455;0.02;0.05;0.05;-0.28;0.43;0.71;1.20
-0.35;0.53;0.88;181456;0.00;-0.03;-0.03;-0.31;0.48;0.79;1.19
-0.35;0.53;0.89;181456;-0.02;-0.01;0.01;-0.35;0.53;0.88;1.19
-0.35;0.54;0.88;181456;0.04;0.05;-0.02;-0.38;0.59;0.97;1.19
-0.35;0.53;0.88;181456;-0.03;-0.03;0.01;-0.42;0.64;1.06;1.19
-0.35;0.53;0.88;181456;0.00;0.00;-0.03;-0.45;0.69;1.15;1.18
-0.35;0.53;0.88;181456;0.00;-0.01;-0.06;-0.49;0.75;1.24;1.17
-0.35;0.54;0.88;181456;-0.00;0.03;0.02;-0.52;0.80;1.32;1.18
-0.35;0.53;0.88;181456;0.01;-0.02;0.02;-0.56;0.85;1.41;1.18
-0.34;0.53;0.87;181456;0.04;-0.01;-0.06;-0.59;0.91;1.50;1.16
-0.35;0.54;0.88;181456;-0.05;0.05;0.02;-0.63;0.96;1.59;1.18
-0.35;0.54;0.89;181457;0.01;0.05;0.12;-0.66;1.02;1.67;1.20
-0.34;0.54;0.88;181457;0.03;-0.05;-0.05;-0.69;1.07;1.76;1.19
-0.35;0.54;0.88;181457;-0.04;-0.01;-0.04;-0.73;1.12;1.85;1.18
-0.35;0.54;0.88;181457;0.02;0.04;0.04;-0.76;1.18;1.94;1.19
-0.35;0.53;0.87;181457;0.01;-0.10;-0.08;-0.80;1.23;2.03;1.16
-0.35;0.53;0.88;181457;-0.01;0.05;0.04;-0.83;1.28;2.11;1.18
-0.35;0.53;0.88;181457;-0.02;0.00;0.01;-0.87;1.34;2.20;1.18
-0.35;0.54;0.88;181457;0.01;0.02;-0.01;-0.90;1.39;2.29;1.18
-0.35;0.54;0.88;181457;0.00;-0.00;0.06;-0.94;1.44;2.38;1.19
-0.35;0.54;0.88;181457;0.01;0.01;-0.04;-0.97;1.50;2.47;1.18
-0.35;0.54;0.88;181458;0.00;-0.02;-0.01;-1.01;1.55;2.55;1.18
-0.35;0.53;0.88;181458;-0.01;-0.02;0.00;-1.04;1.60;2.64;1.18
-0.35;0.53;0.88;181458;-0.00;0.01;-0.01;-1.08;1.66;2.73;1.18
-0.34;0.53;0.88;181458;0.03;-0.00;0.04;-1.11;1.71;2.82;1.18
-0.35;0.54;0.88;181458;-0.02;0.02;-0.06;-1.15;1.76;2.91;1.18
-0.35;0.54;0.88;181458;-0.01;0.01;0.03;-1.18;1.82;2.99;1.18
-0.35;0.53;0.88;181458;0.01;-0.03;-0.00;-1.21;1.87;3.08;1.18
-0.34;0.53;0.88;181458;0.02;-0.02;0.03;-1.25;1.92;3.17;1.18
-0.35;0.54;0.88;181458;-0.00;0.07;0.01;-1.28;1.98;3.26;1.19
-0.35;0.54;0.88;181458;-0.04;0.00;-0.03;-1.32;2.03;3.35;1.19
-0.35;0.53;0.88;181459;-0.03;-0.10;-0.00;-1.35;2.08;3.43;1.18
-0.35;0.54;0.89;181459;0.07;0.08;0.07;-1.39;2.14;3.52;1.19
-0.35;0.53;0.88;181459;-0.04;-0.02;-0.03;-1.42;2.19;3.61;1.19
-0.35;0.54;0.88;181459;-0.03;0.01;-0.05;-1.46;2.25;3.70;1.18
-0.34;0.53;0.88;181459;0.08;-0.01;0.05;-1.49;2.30;3.79;1.18
-0.35;0.54;0.89;181459;-0.00;0.05;0.04;-1.53;2.35;3.88;1.20
-0.35;0.53;0.88;181459;-0.03;-0.04;-0.09;-1.56;2.41;3.96;1.18
-0.35;0.54;0.88;181459;-0.00;0.01;0.00;-1.60;2.46;4.05;1.18
